"filename", "language", "JavaScript", "CSS", "JSON", "JSON with Comments", "XML", "Markdown", "CSV", "comment", "blank", "total"
"j:\razer-shop-page\components\loginLayout\HeaderStyle.module.css", "CSS", 0, 34, 0, 0, 0, 0, 0, 0, 5, 39
"j:\razer-shop-page\components\loginLayout\layout.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"j:\razer-shop-page\helper\helper.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"j:\razer-shop-page\jsconfig.json", "JSON with Comments", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"j:\razer-shop-page\lib\reducer.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"j:\razer-shop-page\next.config.mjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"j:\razer-shop-page\package-lock.json", "JSON", 0, 0, 5100, 0, 0, 0, 0, 0, 1, 5101
"j:\razer-shop-page\package.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 1, 33
"j:\razer-shop-page\pages\_app.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"j:\razer-shop-page\pages\_document.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"j:\razer-shop-page\pages\api\auth.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"j:\razer-shop-page\pages\api\logout.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"j:\razer-shop-page\pages\dashboard\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"j:\razer-shop-page\pages\index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"j:\razer-shop-page\pages\login\index.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 6, 24
"j:\razer-shop-page\pages\shop\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"j:\razer-shop-page\pages\signin\index.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"j:\razer-shop-page\public\Icons\Globe_icon.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 8
"j:\razer-shop-page\public\Icons\buynow-paylater-icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\cart\account-icon.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"j:\razer-shop-page\public\Icons\cart\cart_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\cart\orders_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
