"filename", "language", "CSS", "JSON with Comments", "JSON", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"j:\razer-shop-page\public\Icons\cart\account-icon.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"j:\razer-shop-page\public\Icons\cart\cart_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\cart\orders_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\cart\razerstore_icon.svg", "XML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"j:\razer-shop-page\public\Icons\cart\signin_icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\discord.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\exclusives-icon.svg", "XML", 0, 0, 0, 0, 19, 0, 0, 2, 21
"j:\razer-shop-page\public\Icons\facebook.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\first-dibs-icon.svg", "XML", 0, 0, 0, 0, 16, 0, 0, 1, 17
"j:\razer-shop-page\public\Icons\instagram.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 1, 19
"j:\razer-shop-page\public\Icons\largest-array-icon.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\login.svg", "XML", 0, 0, 0, 0, 20, 0, 1, 0, 21
"j:\razer-shop-page\public\Icons\razer-logo.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\shopping-cart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\threads.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 13
"j:\razer-shop-page\public\Icons\tiktok.svg", "XML", 0, 0, 0, 0, 14, 0, 0, 1, 15
"j:\razer-shop-page\public\Icons\twitch.svg", "XML", 0, 0, 0, 0, 18, 0, 0, 1, 19
"j:\razer-shop-page\public\Icons\twitter.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\Icons\youtube.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 1
"j:\razer-shop-page\services\api.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 4, 17
"j:\razer-shop-page\services\replaceNumber.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 4, 18
"j:\razer-shop-page\styles\Home.module.css", "CSS", 195, 0, 0, 0, 0, 0, 3, 32, 230
"j:\razer-shop-page\styles\fonts.css", "CSS", 13, 0, 0, 0, 0, 0, 0, 2, 15
"j:\razer-shop-page\styles\globals.css", "CSS", 15, 0, 0, 0, 0, 0, 0, 3, 18
"j:\razer-shop-page\styles\shopStyle.module.css", "CSS", 4, 0, 0, 0, 0, 0, 0, 0, 4
"j:\razer-shop-page\utils\fetchApi.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"Total", "-", 1288, 7, 4368, 1459, 152, 25, 18, 426, 7743
